,min_temp
0,-75.0
1,-76.0
2,-76.0
3,-74.0
4,-74.0
5,-78.0
6,-77.0
7,-76.0
8,-74.0
9,-74.0
10,-75.0
11,-75.0
12,-75.0
13,-76.0
14,-75.0
15,-75.0
16,-75.0
17,-74.0
18,-74.0
19,-73.0
20,-73.0
21,-73.0
22,-73.0
23,-73.0
24,-73.0
25,-75.0
26,-75.0
27,-75.0
28,-75.0
29,-74.0
30,-75.0
31,-74.0
32,-74.0
33,-75.0
34,-75.0
35,-74.0
36,-72.0
37,-76.0
38,-74.0
39,-71.0
40,-72.0
41,-74.0
42,-73.0
43,-73.0
44,-74.0
45,-76.0
46,-75.0
47,-72.0
48,-72.0
49,-73.0
50,-74.0
51,-72.0
52,-73.0
53,-73.0
54,-71.0
55,-73.0
56,-72.0
57,-71.0
58,-73.0
59,-70.0
60,-72.0
61,-73.0
62,-73.0
63,-71.0
64,-71.0
65,-73.0
66,-70.0
67,-72.0
68,-72.0
69,-72.0
70,-70.0
71,-71.0
72,-71.0
73,-70.0
74,-70.0
75,-73.0
76,-71.0
77,-74.0
78,-74.0
79,-72.0
80,-70.0
81,-68.0
82,-71.0
83,-68.0
84,-68.0
85,-68.0
86,-66.0
87,-65.0
88,-67.0
89,-66.0
90,-67.0
91,-66.0
92,-66.0
93,-66.0
94,-65.0
95,-64.0
96,-65.0
97,-66.0
98,-65.0
99,-66.0
100,-69.0
101,-66.0
102,-67.0
103,-66.0
104,-65.0
105,-66.0
106,-67.0
107,-66.0
108,-65.0
109,-66.0
110,-66.0
111,-68.0
112,-66.0
113,-67.0
114,-67.0
115,-65.0
116,-65.0
117,-65.0
118,-65.0
119,-65.0
120,-67.0
121,-65.0
122,-65.0
123,-64.0
124,-65.0
125,-66.0
126,-66.0
127,-64.0
128,-65.0
129,-63.0
130,-64.0
131,-64.0
132,-65.0
133,-65.0
134,-65.0
135,-65.0
136,-64.0
137,-65.0
138,-63.0
139,-65.0
140,-65.0
141,-64.0
142,-65.0
143,-64.0
144,-66.0
145,-65.0
146,-67.0
147,-65.0
148,-65.0
149,-65.0
150,-64.0
151,-65.0
152,-65.0
153,-65.0
154,-66.0
155,-66.0
156,-66.0
157,-67.0
158,-67.0
159,-67.0
160,-67.0
161,-68.0
162,-67.0
163,-66.0
164,-66.0
165,-66.0
166,-67.0
167,-67.0
168,-67.0
169,-67.0
170,-67.0
171,-67.0
172,-66.0
173,-67.0
174,-68.0
175,-68.0
176,-66.0
177,-67.0
178,-66.0
179,-68.0
180,-67.0
181,-66.0
182,-71.0
183,-69.0
184,-71.0
185,-70.0
186,-70.0
187,-71.0
188,-69.0
189,-69.0
190,-71.0
191,-69.0
192,-69.0
193,-69.0
194,-70.0
195,-72.0
196,-71.0
197,-70.0
198,-73.0
199,-70.0
200,-72.0
201,-70.0
202,-71.0
203,-69.0
204,-70.0
205,-73.0
206,-71.0
207,-70.0
208,-69.0
209,-70.0
210,-71.0
211,-71.0
212,-71.0
213,-70.0
214,-69.0
215,-70.0
216,-70.0
217,-71.0
218,-72.0
219,-70.0
220,-70.0
221,-70.0
222,-72.0
223,-67.0
224,-69.0
225,-71.0
226,-70.0
227,-70.0
228,-67.0
229,-69.0
230,-69.0
231,-67.0
232,-68.0
233,-69.0
234,-68.0
235,-72.0
236,-68.0
237,-71.0
238,-70.0
239,-71.0
240,-72.0
241,-69.0
242,-71.0
243,-71.0
244,-70.0
245,-71.0
246,-72.0
247,-72.0
248,-71.0
249,-71.0
250,-72.0
251,-72.0
252,-71.0
253,-72.0
254,-73.0
255,-71.0
256,-71.0
257,-70.0
258,-71.0
259,-71.0
260,-72.0
261,-73.0
262,-72.0
263,-71.0
264,-74.0
265,-71.0
266,-77.0
267,-73.0
268,-74.0
269,-74.0
270,-72.0
271,-74.0
272,-73.0
273,-74.0
274,-75.0
275,-74.0
276,-74.0
277,-75.0
278,-74.0
279,-72.0
280,-74.0
281,-75.0
282,-74.0
283,-75.0
284,-74.0
285,-76.0
286,-75.0
287,-74.0
288,-76.0
289,-76.0
290,-75.0
291,-78.0
292,-76.0
293,-76.0
294,-77.0
295,-76.0
296,-77.0
297,-77.0
298,-77.0
299,-76.0
300,-77.0
301,-74.0
302,-75.0
303,-76.0
304,-75.0
305,-77.0
306,-75.0
307,-75.0
308,-75.0
309,-77.0
310,-76.0
311,-76.0
312,-76.0
313,-77.0
314,-75.0
315,-79.0
316,-77.0
317,-76.0
318,-79.0
319,-79.0
320,-77.0
321,-78.0
322,-78.0
323,-78.0
324,-79.0
325,-79.0
326,-79.0
327,-76.0
328,-77.0
329,-77.0
330,-78.0
331,-77.0
332,-78.0
333,-79.0
334,-79.0
335,-78.0
336,-78.0
337,-77.0
338,-76.0
339,-79.0
340,-77.0
341,-78.0
342,-75.0
343,-79.0
344,-79.0
345,-79.0
346,-79.0
347,-78.0
348,-80.0
349,-78.0
350,-82.0
351,-81.0
352,-81.0
353,-80.0
354,-81.0
355,-81.0
356,-82.0
357,-80.0
358,-82.0
359,-79.0
360,-82.0
361,-79.0
362,-82.0
363,-79.0
364,-82.0
365,-80.0
366,-81.0
367,-82.0
368,-81.0
369,-81.0
370,-81.0
371,-79.0
372,-81.0
373,-81.0
374,-82.0
375,-82.0
376,-83.0
377,-80.0
378,-81.0
379,-80.0
380,-81.0
381,-81.0
382,-82.0
383,-79.0
384,-80.0
385,-80.0
386,-81.0
387,-80.0
388,-81.0
389,-84.0
390,-83.0
391,-86.0
392,-84.0
393,-85.0
394,-85.0
395,-84.0
396,-85.0
397,-85.0
398,-85.0
399,-84.0
400,-84.0
401,-86.0
402,-84.0
403,-85.0
404,-85.0
405,-85.0
406,-84.0
407,-85.0
408,-87.0
409,-85.0
410,-87.0
411,-86.0
412,-86.0
413,-84.0
414,-85.0
415,-86.0
416,-85.0
417,-86.0
418,-86.0
419,-84.0
420,-85.0
421,-86.0
422,-87.0
423,-86.0
424,-85.0
425,-85.0
426,-86.0
427,-85.0
428,-83.0
429,-86.0
430,-85.0
431,-85.0
432,-86.0
433,-86.0
434,-86.0
435,-86.0
436,-86.0
437,-86.0
438,-85.0
439,-86.0
440,-86.0
441,-87.0
442,-85.0
443,-85.0
444,-85.0
445,-87.0
446,-87.0
447,-86.0
448,-86.0
449,-87.0
450,-87.0
451,-87.0
452,-88.0
453,-87.0
454,-86.0
455,-88.0
456,-83.0
457,-83.0
458,-85.0
459,-85.0
460,-84.0
461,-84.0
462,-85.0
463,-84.0
464,-86.0
465,-85.0
466,-85.0
467,-85.0
468,-86.0
469,-87.0
470,-85.0
471,-85.0
472,-86.0
473,-84.0
474,-84.0
475,-85.0
476,-85.0
477,-85.0
478,-85.0
479,-85.0
480,-86.0
481,-85.0
482,-85.0
483,-87.0
484,-86.0
485,-85.0
486,-86.0
487,-86.0
488,-86.0
489,-85.0
490,-84.0
491,-84.0
492,-85.0
493,-84.0
494,-85.0
495,-82.0
496,-84.0
497,-84.0
498,-83.0
499,-82.0
500,-83.0
501,-84.0
502,-84.0
503,-82.0
504,-82.0
505,-83.0
506,-82.0
507,-85.0
508,-84.0
509,-85.0
510,-82.0
511,-82.0
512,-83.0
513,-83.0
514,-83.0
515,-83.0
516,-82.0
517,-84.0
518,-84.0
519,-84.0
520,-81.0
521,-82.0
522,-82.0
523,-83.0
524,-84.0
525,-83.0
526,-84.0
527,-83.0
528,-85.0
529,-84.0
530,-85.0
531,-84.0
532,-85.0
533,-84.0
534,-82.0
535,-83.0
536,-82.0
537,-84.0
538,-83.0
539,-82.0
540,-83.0
541,-82.0
542,-84.0
543,-83.0
544,-82.0
545,-81.0
546,-82.0
547,-82.0
548,-81.0
549,-84.0
550,-82.0
551,-81.0
552,-79.0
553,-81.0
554,-82.0
555,-82.0
556,-81.0
557,-80.0
558,-80.0
559,-80.0
560,-81.0
561,-81.0
562,-80.0
563,-80.0
564,-80.0
565,-81.0
566,-81.0
567,-79.0
568,-80.0
569,-79.0
570,-80.0
571,-80.0
572,-79.0
573,-80.0
574,-79.0
575,-77.0
576,-80.0
577,-79.0
578,-79.0
579,-77.0
580,-78.0
581,-76.0
582,-77.0
583,-77.0
584,-78.0
585,-78.0
586,-77.0
587,-76.0
588,-75.0
589,-84.0
590,-79.0
591,-79.0
592,-78.0
593,-78.0
594,-80.0
595,-80.0
596,-80.0
597,-78.0
598,-77.0
599,-77.0
600,-76.0
601,-79.0
602,-77.0
603,-79.0
604,-75.0
605,-77.0
606,-76.0
607,-77.0
608,-77.0
609,-76.0
610,-77.0
611,-76.0
612,-76.0
613,-76.0
614,-75.0
615,-76.0
616,-75.0
617,-74.0
618,-77.0
619,-76.0
620,-75.0
621,-77.0
622,-76.0
623,-75.0
624,-75.0
625,-76.0
626,-76.0
627,-76.0
628,-76.0
629,-73.0
630,-77.0
631,-75.0
632,-77.0
633,-76.0
634,-76.0
635,-73.0
636,-75.0
637,-76.0
638,-77.0
639,-77.0
640,-74.0
641,-73.0
642,-74.0
643,-73.0
644,-74.0
645,-73.0
646,-75.0
647,-76.0
648,-74.0
649,-75.0
650,-76.0
651,-75.0
652,-75.0
653,-74.0
654,-73.0
655,-73.0
656,-76.0
657,-74.0
658,-75.0
659,-77.0
660,-76.0
661,-70.0
662,-72.0
663,-72.0
664,-75.0
665,-74.0
666,-76.0
667,-73.0
668,-71.0
669,-73.0
670,-72.0
671,-72.0
672,-71.0
673,-73.0
674,-73.0
675,-74.0
676,-73.0
677,-73.0
678,-71.0
679,-77.0
680,-70.0
681,-72.0
682,-75.0
683,-78.0
684,-73.0
685,-73.0
686,-70.0
687,-71.0
688,-73.0
689,-73.0
690,-70.0
691,-71.0
692,-71.0
693,-70.0
694,-73.0
695,-71.0
696,-72.0
697,-72.0
698,-70.0
699,-71.0
700,-72.0
701,-74.0
702,-71.0
703,-69.0
704,-69.0
705,-74.0
706,-74.0
707,-73.0
708,-68.0
709,-68.0
710,-68.0
